id,total_count
68dc55e7efaeec64e5eb7316,10
68dc5617efaeec64e5eb7317,5
68dc564cefaeec64e5eb7318,7
68dc5694efaeec64e5eb731b,7
68dc5733efaeec64e5eb731e,4
68dc576aefaeec64e5eb731f,2
68dc57b3efaeec64e5eb7320,6
68dc5825efaeec64e5eb7322,8
68dc594eefaeec64e5eb732b,6
68dc59fbefaeec64e5eb732d,8
68dc5a19efaeec64e5eb732e,10
68dc5a86efaeec64e5eb732f,35
68dc5abcefaeec64e5eb7330,6
68dc5d4eefaeec64e5eb7337,12
68dc5ee5efaeec64e5eb733c,4
68dc606cefaeec64e5eb7345,8
68dc60a0efaeec64e5eb7347,11
68dc6104efaeec64e5eb7349,9
68dc6162efaeec64e5eb734a,3
68dc6252efaeec64e5eb734d,5
68dc6437efaeec64e5eb7351,10
68dc6466efaeec64e5eb7353,10
68dc6556efaeec64e5eb7359,8
68dc66a8efaeec64e5eb735c,8
68dc6720efaeec64e5eb735e,2
68dc6743efaeec64e5eb735f,9
68dc68d3efaeec64e5eb7367,5
68dc68d8efaeec64e5eb7368,6
68dc6a4defaeec64e5eb736b,16
68dc6a57efaeec64e5eb736c,4
68dc7ad2efaeec64e5eb7378,6
68dc7bd4efaeec64e5eb737b,4
68dc7ca7efaeec64e5eb737e,8
68dc7db2efaeec64e5eb737f,3
68dc7ecdefaeec64e5eb7383,3
68dc8044efaeec64e5eb7385,5
68dc8549efaeec64e5eb738e,11
68dc864befaeec64e5eb7392,4
68dc88faefaeec64e5eb7399,4
68dc8c1befaeec64e5eb739c,0
68dc8d53efaeec64e5eb73a2,7
68dc8e63efaeec64e5eb73a4,7
68dc8ebfefaeec64e5eb73a6,8
68dc8ec0efaeec64e5eb73a7,5
68dc8f4cefaeec64e5eb73aa,12
68dc9238efaeec64e5eb73b0,9
68dc928eefaeec64e5eb73b3,9
68dc956befaeec64e5eb73bb,9
68dc95dbefaeec64e5eb73bd,4
68dc99edefaeec64e5eb73c1,5
68dc9a71efaeec64e5eb73c2,0
68dc9ccdefaeec64e5eb73c7,8
68dc9d76efaeec64e5eb73cb,3
68dc9ebeefaeec64e5eb73d0,8
68dc9f2befaeec64e5eb73d1,4
68dc9f78efaeec64e5eb73d4,5
68dca1a9efaeec64e5eb73dc,8
68dca2cfefaeec64e5eb73df,19
68dcada0efaeec64e5eb73e8,9
68dcaf0aefaeec64e5eb73eb,4
68dcafbbefaeec64e5eb73ec,18
68dcb173efaeec64e5eb73f1,2
68dcb20defaeec64e5eb73f2,10
68dcb2f1efaeec64e5eb73f5,4
