id,total_count
944,8
699,1
726,19
399,1
11,14
633,15
98,9
145,1
811,11
910,32
719,1
531,7
555,9
286,3
134,1
543,18
578,13
491,43
87,13
953,58
874,16
595,4
927,13
834,12
253,44
61,22
4,21
17,6
966,12
896,1
277,5
819,23
946,5
269,3
337,12
267,1
442,23
1001,21
818,18
883,7
778,9
424,17
123,44
764,1
334,11
471,44
1007,6
362,3
893,17
302,14
395,19
589,26
232,16
586,28
574,13
153,19
628,12
687,28
907,13
177,45
396,6
508,15
714,19
345,28
211,26
24,6
75,14
22,4
526,11
292,5
60,2
842,27
715,27
512,22
203,17
936,7
432,11
758,21
115,47
82,8
426,9
320,9
309,4
455,6
955,1
263,31
529,8
460,1
592,24
70,23
429,14
599,87
296,7
175,15
717,20
514,5
527,14
173,10
612,18
721,19
774,1
568,55
525,12
468,20
571,43
378,1
1019,6
14,11
171,64
573,20
233,14
1029,3
938,10
290,25
569,7
583,1
240,12
565,34
582,2
280,1
472,26
881,9
973,35
69,6
710,9
827,25
1018,65
374,1
387,4
276,8
669,28
587,8
697,80
305,14
530,23
854,25
57,2
808,23
76,9
291,35
495,16
1000,15
420,10
848,22
658,12
685,4
664,1
390,4
412,19
479,24
705,1
960,27
804,112
950,1
546,5
454,19
601,25
288,9
342,8
223,16
793,9
614,92
962,46
1014,21
639,71
949,1
661,27
619,16
792,15
861,36
570,1
744,16
51,10
142,34
38,22
254,1
195,1
1015,5
889,16
222,24
976,1
933,10
31,19
637,27
113,2
984,7
182,16
360,5
868,12
371,4
152,10
1004,1
58,14
980,14
350,37
49,13
109,15
190,9
876,9
261,10
630,1
297,8
535,11
438,9
1012,15
905,39
646,23
912,24
225,28
313,17
929,8
101,43
451,53
369,6
239,14
830,4
392,17
9,33
111,42
440,5
644,1
942,13
492,14
673,19
406,1
750,12
880,28
209,1
433,2
28,1
271,15
311,5
867,6
469,5
96,14
19,25
25,19
770,22
502,26
702,11
268,18
246,1
59,1
180,8
174,20
777,23
886,14
179,11
319,28
349,141
398,25
141,8
1026,38
734,19
53,26
165,6
914,4
327,29
855,16
312,15
