year,n,mean,std,min,max,skewness,kurtosis_excess,comparison,t,df,p_two_sided,mean_diff,se,ci95_lo,ci95_hi,cohens_d,hedges_g
2024.0,965.0,3.464248704663212,1.0174904957964883,1.0,5.0,-1.389768137385708,1.016752727446498,,,,,,,,,,
2025.0,924.0,2.0714285714285716,1.3179672265565054,0.0,5.0,0.078649247132274,-0.6967846774163005,,,,,,,,,,
,,,,,,,,2025 - 2024,-25.631965908224966,1735.8105921017843,0.0,-1.3928201332346406,0.0543391848374651,-1.499397292845771,-1.2862429736235101,-1.1862755352066878,-1.1858039800714526
